Video,Ground Truth,Prediction,CER
alex_abenchuchan_3339,MIAMIMARL,MIAOMIMAURLINS,0.5556
carol_padden_2086,ABSL,ABLG,0.5000
austin_andrews_0814,CODA,CODA,0.0000
alex_abenchuchan_4112,NIXON,NIXN,0.2000
deafcutecartoon_6367,DVTERS,DVTURS,0.1667
christine_sun_kim_5910,RATE,URATE,0.2500
carol_padden_2225,NOUNS,NURNS,0.4000
carol_padden_2017,VERB,VURB,0.2500
aidan_mack_3194,IT,I,0.5000
carol_padden_2010,SLIDE,LIE,0.4000
christine_sun_kim_5917,ASL,ASL,0.0000
aidan_mack_3167,AIDANMACK,AIDANMACKP,0.1111
christine_sun_kim_5921,TOLOOKAT,TOKPAT,0.5000
alex_abenchuchan_3352,MIAMI,MIA,0.4000
carol_padden_2019,PATERN,KPATEURSN,0.5000
deafmermaid_3690,FANS,FNS,0.2500
deafmermaid_5085,IF,,1.0000
carol_padden_1983,PATERN,KPATEURN,0.3333
carol_padden_2198,ALLINSTME,AGINTENURTG,1.0000
chickadee_3486,SO,O,0.5000
deafmermaid_5076,PINKER,KPINKPUR,0.5000
dsport06_1612,TAILORS,I,0.8571
carol_padden_1979,CASE,ASE,0.2500
carol_padden_1941,QUALITY,URALT,0.5714
austin_andrews_0793,CODA,CODA,0.0000
austin_andrews_0733,ASL,ASL,0.0000
archie_5070,FILESPACE,FYLESTKPAECE,0.4444
alexandria_wailes_1856,RICH,URICH,0.2500
carol_padden_2136,MANER,MNEUR,0.4000
alex_abenchuchan_4067,BRAH,CBURH,0.7500
dogwood1214_3564,DGM,DGM,0.0000
carol_padden_2138,LIMP,LIWKP,0.5000
deafwomynpride_1216,TOW,TO,0.3333
dogwood1214_3563,DEBATE,DBATE,0.1667
carol_padden_1940,SPACE,KPACE,0.2000
austin_andrews_0795,CODA,CODA,0.0000
carol_padden_2163,SO,SO,0.0000
austin_andrews_0761,ASL,ASL,0.0000
carol_padden_2155,ABSL,ABSL,0.0000
austin_andrews_0757,WW,W,0.5000
deafmermaid_5048,HER,HUR,0.3333
carol_padden_1949,KAMBERA,KPAMBEURA,0.2857
austin_andrews_0750,ASL,ASL,0.0000
deafmermaid_5289,TATTOO,TAT,0.5000
carol_padden_2106,BUT,BCA,0.6667
deafwomynpride_1680,DIT,DI,0.3333
chickadee_3249,ACAR,NAUR,0.7500
carol_padden_2137,NP,HKP,1.0000
dsport06_1486,USA,UREA,0.6667
deafmermaid_5290,TATTOOS,TATOS,0.2857
carol_padden_1957,NARRATI,NUR,0.7143
carol_padden_2145,VERB,VB,0.5000
austin_andrews_0778,ASL,ASL,0.0000
chickadee_3497,GUSOR,GURSTSOUR,0.8000
deafmermaid_5094,FABRIC,FABIC,0.1667
carol_padden_2189,INSTMENT,INSTURT,0.3750
carol_padden_1966,SPACE,KPACE,0.2000
archie_5068,IMOVIE,IEVIE,0.3333
alexandria_wailes_1882,OR,UR,0.5000
alexandria_wailes_1878,BE,BC,0.5000
dsport06_1491,USA,URS,0.6667
deafwomynpride_1209,SLYFOX,LIFX,0.5000
chickadee_3257,OK,OHW,1.0000
austin_andrews_0741,ASL,ASL,0.0000
deafaynrand_6553,HELP,KP,0.7500
austin_andrews_0746,OFASL,OFASL,0.0000
deafmermaid_5092,BLADES,BLANES,0.1667
deafmermaid_7355,YORKIE,IOKPE,0.5000
deafmermaid_5296,SO,SO,0.0000
chickadee_3498,SPECIAL,SKPCBIL,0.5714
deafmermaid_5050,FREKKYUNF,FKPYURNFIT,0.6667
deafaynrand_6565,ACA,ACA,0.0000
carol_padden_1951,IDEOPHONE,IOHNET,0.5556
carol_padden_1905,WENDYSAND,WENDLYIALE,0.4444
dsport06_1490,RALPHLAUR,ALAUR,0.4444
alexandria_wailes_1846,ASAN,AN,0.5000
austin_andrews_0712,OR,UR,0.5000
dogwood1214_3573,DEBATE,DEBAT,0.1667
carol_padden_1933,MIER,M,0.7500
dogwood1214_3587,NCAD,NCAD,0.0000
alexandria_wailes_1877,IF,F,0.5000
carol_padden_2065,IU,I,0.5000
carol_padden_2268,DATA,DTA,0.2500
deafmermaid_6355,IF,F,0.5000
austin_andrews_0656,IF,IF,0.0000
brooklyn_7394,IT,IKP,1.0000
deafwomynpride_0855,ALL,AG,0.6667
dsport06_1511,HEAR,HEUR,0.2500
carol_padden_2038,PATERN,HKPATURN,0.5000
chickadee_3521,SLICE,IC,0.6000
austin_andrews_0634,ASL,ASLC,0.3333
deafmermaid_6908,STRAWBERR,STURAWBEURY,0.3333
deafwomynpride_0837,ALL,ALKP,0.6667
austin_andrews_0650,ASL,ALSL,0.3333
carol_padden_2052,PATERN,KPATEURT,0.5000
austin_andrews_0805,CODA,CODA,0.0000
deafcutecartoon_6371,AWARDNSS,AWAURDNSNOS,0.3750
brooklyn_7395,WES,VURES,1.0000
carol_padden_2090,HANDLING,T,1.0000
austin_andrews_0692,IT,IT,0.0000
carol_padden_2064,IF,F,0.5000
carol_padden_2030,ASL,ASL,0.0000
carol_padden_2205,HAIRBSH,HAE,0.7143
chickadee_3516,WASAWASAB,WASWASABI,0.2222
christine_sun_kim_5906,LINES,LYINECES,0.6000
deafmermaid_3695,TODOLYOOD,ODLYKP,0.5556
carol_padden_2218,INSMENTPA,INMTD,0.5556
archie_2978,FL,FL,0.0000
carol_padden_2220,ISL,ISL,0.0000
deafmermaid_5302,TAYLER,TAL,0.5000
carol_padden_2079,ASL,ASL,0.0000
brooklyn_7386,DGM,DGM,0.0000
brooklyn_7381,DODODODO,DTDND,0.6250
deafwomynpride_1196,LANDSIDES,LANDSI,0.3333
brooklyn_7375,DGM,DGM,0.0000
austin_andrews_0643,OF,OF,0.0000
carol_padden_2245,ARTIC,TC,0.6000
carol_padden_2084,HANDLING,HNDLB,0.5000
aidan_mack_3164,OK,OKP,0.5000
deafmermaid_5303,TAYLER,TALCUR,0.5000
deafmermaid_3693,WHEELCHAI,WHELCHAIUR,0.3333
christine_sun_kim_5922,ASL,ASA,0.3333
carol_padden_2071,INSTUMENT,INSTMET,0.2222
austin_andrews_0674,ASL,ASL,0.0000
brooklyn_7389,SCADAL,SBCTATDATL,0.6667
austin_andrews_0642,ASL,ASL,0.0000
deafwomynpride_1190,MHOT,MHM,0.5000
brooklyn_5040,TX,TG,0.5000
alexandria_wailes_1855,OR,UR,0.5000
deafwomynpride_1223,LV,L,0.5000
alexandria_wailes_1864,IF,F,0.5000
carol_padden_1918,MEIER,EIFUR,0.6000
alexandria_wailes_1897,OVN,OURN,0.6667
alexandria_wailes_1863,SET,STA,0.6667
carol_padden_1987,PATERN,KPATEURN,0.3333
brooklyn_7297,LINK,LICT,0.5000
deafmermaid_5081,RAGGED,URAGED,0.3333
carol_padden_2157,ISL,YISL,0.3333
deafmermaid_5086,PINKERSHE,KPINKPEURSAUR,0.6667
austin_andrews_0799,CODA,CODA,0.0000
carol_padden_2150,OK,OKP,0.5000
alexandria_wailes_1839,MUTE,MURE,0.2500
carol_padden_1989,TOLS,TOLS,0.0000
carol_padden_1945,OF,F,0.5000
deafmermaid_7370,SUSAN,SAS,0.6000
carol_padden_2195,HANDLING,HNDI,0.5000
deafwomynpride_1677,VA,VA,0.0000
carol_padden_2105,INSUNT,INSURT,0.1667
carol_padden_1910,SO,O,0.5000
austin_andrews_0796,CODA,CODA,0.0000
deafmermaid_5089,SHEARER,HEAUR,0.4286
austin_andrews_0762,ASL,ASL,0.0000
deafaynrand_6583,CACE,CAC,0.2500
andrea_amati_0993,VAC,HAC,0.3333
carol_padden_1975,SO,O,0.5000
carol_padden_1981,OFMODALIT,FODALITY,0.3333
chickadee_3484,DVTV,DVTV,0.0000
deafmermaid_5074,FANS,FANS,0.0000
carol_padden_1972,ABSL,ABSL,0.0000
austin_andrews_0754,VRSOR,VURS,0.6000
