Video,Ground Truth,Prediction,CER
deafmermaid_7356,MORKIE,MAMORKIE,0.3333
alex_abenchuchan_3946,DID,ID,0.3333
austin_andrews_0630,ASL,ASLD,0.3333
dsport06_1513,SUN,UN,0.3333
brooklyn_7376,TRADEMARK,TWRADECMRK,0.3333
austin_andrews_0683,ASL,AS,0.3333
archie_5070,FILESPACE,FYLESTPAECE,0.3333
deafwomynpride_1216,TOW,TO,0.3333
deafmermaid_5048,HER,HR,0.3333
deafwomynpride_1680,DIT,DI,0.3333
dsport06_1486,USA,UEA,0.3333
archie_5068,IMOVIE,IEVIE,0.3333
dsport06_1491,USA,US,0.3333
carol_padden_2038,PATERN,HPATRN,0.3333
austin_andrews_0634,ASL,ASLC,0.3333
deafwomynpride_0837,ALL,ALK,0.3333
austin_andrews_0650,ASL,ALSL,0.3333
deafwomynpride_1196,LANDSIDES,LANDSI,0.3333
deafmermaid_5303,TAYLER,TALCR,0.3333
christine_sun_kim_5922,ASL,ASA,0.3333
alexandria_wailes_1897,OVN,ORN,0.3333
carol_padden_2157,ISL,YISL,0.3333
andrea_amati_0993,VAC,HAC,0.3333
carol_padden_1981,OFMODALIT,FODALITY,0.3333
alexandria_wailes_1827,NERKDEL,NORKDERL,0.2857
deafwomynpride_1192,MELISSA,MELSA,0.2857
carol_padden_2246,LEXICAL,LEXCSL,0.2857
deafmermaid_5290,TATTOOS,TATOS,0.2857
alexandria_wailes_1829,MSSD,MSD,0.2500
austin_andrews_0787,LINK,LYINK,0.2500
chickadee_3525,FRID,FRFD,0.2500
alex_abenchuchan_4101,FORD,FONRD,0.2500
carol_padden_2069,ABSL,ABAL,0.2500
deafmermaid_6343,DVTV,DVNV,0.2500
austin_andrews_0822,CODA,CDA,0.2500
carol_padden_2017,VERB,VRB,0.2500
deafmermaid_3690,FANS,FNS,0.2500
carol_padden_1979,CASE,ASE,0.2500
carol_padden_2138,LIMP,LIWP,0.2500
carol_padden_2268,DATA,DTA,0.2500
dsport06_1511,HEAR,HER,0.2500
deafcutecartoon_6371,AWARDNSS,AWARDNSNOS,0.2500
alexandria_wailes_1839,MUTE,MUE,0.2500
deafaynrand_6583,CACE,CAC,0.2500
dogwood1214_3582,DGMPLATFO,DGMPLTFOM,0.2222
dogwood1214_3570,DAWNELAIN,DAWNEDLAINE,0.2222
alex_abenchuchan_3941,CONFEDERA,CONFEDE,0.2222
alex_abenchuchan_3379,SHAKESKEA,SHAKESKAE,0.2222
chickadee_3523,SESAMESEE,SESAESED,0.2222
alex_abenchuchan_4171,SCALDINGD,SCALDINGDRE,0.2222
chickadee_3516,WASAWASAB,WASWASABI,0.2222
deafmermaid_3693,WHEELCHAI,WHELCHAIR,0.2222
carol_padden_2071,INSTUMENT,INSTMET,0.2222
deafmermaid_5086,PINKERSHE,PINKERSAR,0.2222
deafmermaid_7333,SUSAN,SUNAN,0.2000
carol_padden_2265,LEVEL,LEVNL,0.2000
alex_abenchuchan_4140,DRONE,DRNE,0.2000
alex_abenchuchan_4112,NIXON,NIXN,0.2000
carol_padden_2225,NOUNS,NUNS,0.2000
carol_padden_2136,MANER,MNER,0.2000
carol_padden_1940,SPACE,PACE,0.2000
carol_padden_1966,SPACE,PACE,0.2000
alexandria_wailes_1872,DITALL,DITANL,0.1667
carol_padden_2092,PATERN,PATERA,0.1667
alex_abenchuchan_3976,GOFRND,OFRND,0.1667
carol_padden_2255,PATERN,PATRN,0.1667
deafcutecartoon_6367,DVTERS,DVTRS,0.1667
carol_padden_2019,PATERN,PATERSN,0.1667
deafmermaid_5076,PINKER,PINKR,0.1667
dogwood1214_3563,DEBATE,DBATE,0.1667
deafmermaid_5094,FABRIC,FABIC,0.1667
deafmermaid_5092,BLADES,BLANES,0.1667
dogwood1214_3573,DEBATE,DEBAT,0.1667
carol_padden_2052,PATERN,PATERT,0.1667
deafmermaid_5081,RAGGED,RAGED,0.1667
carol_padden_2105,INSUNT,INSUT,0.1667
deafaynrand_6559,MEDICAID,MEDCAID,0.1250
alex_abenchuchan_3947,CONFEDATE,CONFEDTE,0.1111
deafcutecartoon_6372,AWARDNESS,AWARDNES,0.1111
deafmermaid_6908,STRAWBERR,STRAWBERY,0.1111
austin_andrews_0710,OR,OR,0.0000
alexandria_wailes_1843,SO,SO,0.0000
alex_abenchuchan_3268,NEWS,NEWS,0.0000
alex_abenchuchan_4021,UN,UN,0.0000
carol_padden_2177,ABSL,ABSL,0.0000
austin_andrews_0775,ASL,ASL,0.0000
deafmermaid_7357,SUSAN,SUSAN,0.0000
deafmermaid_7334,LA,LA,0.0000
austin_andrews_0718,ASL,ASL,0.0000
austin_andrews_0729,ASL,ASL,0.0000
deafmermaid_5098,FLANL,FLANL,0.0000
carol_padden_2185,HANDLING,HANDLING,0.0000
alex_abenchuchan_3383,CO,CO,0.0000
carol_padden_2209,OF,OF,0.0000
aidan_mack_3173,TO,TO,0.0000
alex_abenchuchan_3948,CODE,CODE,0.0000
alex_abenchuchan_3977,RE,RE,0.0000
alex_abenchuchan_3341,DIU,DIU,0.0000
alexandria_wailes_1901,DIT,DIT,0.0000
austin_andrews_0690,VHS,VHS,0.0000
deafcutecartoon_6373,OK,OK,0.0000
austin_andrews_0638,ASL,ASL,0.0000
alex_abenchuchan_3376,FHOSTS,FHOSTS,0.0000
carol_padden_2056,PATERN,PATERN,0.0000
austin_andrews_0654,IF,IF,0.0000
carol_padden_2067,ABSL,ABSL,0.0000
alex_abenchuchan_3313,SKY,SKY,0.0000
austin_andrews_0647,NERDA,NERDA,0.0000
alex_abenchuchan_4122,INCH,INCH,0.0000
christine_sun_kim_5920,ASL,ASL,0.0000
alex_abenchuchan_3962,TOM,TOM,0.0000
deafmermaid_5105,PIN,PIN,0.0000
deafmermaid_6910,CHICKFLIA,CHICKFLIA,0.0000
alex_abenchuchan_3953,ILY,ILY,0.0000
alex_abenchuchan_3396,HUNTER,HUNTER,0.0000
austin_andrews_0677,ASL,ASL,0.0000
carol_padden_2247,PATERN,PATERN,0.0000
austin_andrews_0814,CODA,CODA,0.0000
christine_sun_kim_5910,RATE,RATE,0.0000
christine_sun_kim_5917,ASL,ASL,0.0000
aidan_mack_3167,AIDANMACK,AIDANMACK,0.0000
carol_padden_1983,PATERN,PATERN,0.0000
austin_andrews_0793,CODA,CODA,0.0000
austin_andrews_0733,ASL,ASL,0.0000
alexandria_wailes_1856,RICH,RICH,0.0000
dogwood1214_3564,DGM,DGM,0.0000
austin_andrews_0795,CODA,CODA,0.0000
carol_padden_2163,SO,SO,0.0000
austin_andrews_0761,ASL,ASL,0.0000
carol_padden_2155,ABSL,ABSL,0.0000
carol_padden_1949,KAMBERA,KAMBERA,0.0000
austin_andrews_0750,ASL,ASL,0.0000
austin_andrews_0778,ASL,ASL,0.0000
austin_andrews_0741,ASL,ASL,0.0000
austin_andrews_0746,OFASL,OFASL,0.0000
deafmermaid_5296,SO,SO,0.0000
deafaynrand_6565,ACA,ACA,0.0000
dogwood1214_3587,NCAD,NCAD,0.0000
austin_andrews_0656,IF,IF,0.0000
austin_andrews_0805,CODA,CODA,0.0000
austin_andrews_0692,IT,IT,0.0000
carol_padden_2030,ASL,ASL,0.0000
archie_2978,FL,FL,0.0000
carol_padden_2220,ISL,ISL,0.0000
carol_padden_2079,ASL,ASL,0.0000
brooklyn_7386,DGM,DGM,0.0000
brooklyn_7375,DGM,DGM,0.0000
austin_andrews_0643,OF,OF,0.0000
aidan_mack_3164,OK,OK,0.0000
austin_andrews_0674,ASL,ASL,0.0000
austin_andrews_0642,ASL,ASL,0.0000
carol_padden_1987,PATERN,PATERN,0.0000
austin_andrews_0799,CODA,CODA,0.0000
carol_padden_2150,OK,OK,0.0000
carol_padden_1989,TOLS,TOLS,0.0000
deafwomynpride_1677,VA,VA,0.0000
austin_andrews_0796,CODA,CODA,0.0000
austin_andrews_0762,ASL,ASL,0.0000
chickadee_3484,DVTV,DVTV,0.0000
deafmermaid_5074,FANS,FANS,0.0000
carol_padden_1972,ABSL,ABSL,0.0000
